Name,Description,Duration,Source,AffectedAttributes,DicePoolModifier
Minor Injury,"-1d to STR/RFX/INT/CHA governed Dice Pools. The injury will naturally heal over the next few days, or faster if treated actively.",Days if untreated,Source of Injury,"STR, RFX, INT, CHA",-1d
Medium Injury,-2d to STR/RFX/INT/CHA governed Dice Pools. The injury must be treated relatively soon otherwise further penalties may apply such as infection.,Weeks if untreated,Source of Injury,"STR, RFX, INT, CHA",-2d
Serious Injury,-3d to STR/RFX/INT/CHA governed Dice Pools.  The injury will lead to death in time if untreated.,Months if untreated,Source of Injury,"STR, RFX, INT, CHA",-3d
Fatal Injury,-4d to STR/RFX/INT/CHA governed Dice Pools. The injury will lead to death very soon if untreated. The character inflicted with this injury is Physically Incapacitated (see the Narrative Effect).,Indefinite if untreated,Source of Injury,"STR, RFX, INT, CHA",-4d
Death Blow Injury,-5d to STR/RFX/INT/CHA governed Dice Pools. The injury causes death.,Indefinite,Source of Injury,"STR, RFX, INT, CHA",-5d
,,,,,
Weight Class: Light,-0d to STR/RFX governed Dice Pools,Indefinite,0% =< Equipment Weight <= 25% of Carry Weight,"STR, RFX",-0d
Weight Class: Medium,-1d to STR/RFX governed Dice Pools,Indefinite,25% < Equipment Weight <= 50% of Carry Weight,"STR, RFX",-1d
Weight Class: Heavy,-2d to STR/RFX governed Dice Pools,Indefinite,50% < Equipment Weight <= 75% of Carry Weight,"STR, RFX",-2d
Weight Class: Very Heavy,-3d to STR/RFX governed Dice Pools,Indefinite,75% < Equipment Weight <= 100% of Carry Weight,"STR, RFX",-3d
Weight Class: Overburdened,-4d to STR/RFX governed Dice Pools,Indefinite,100% < Equipment Weight of Carry Weight,"STR, RFX",-4d
