name,description,source,duration,variation,Type,optionalResourceAndAmount,baseDiceAdjustment,dicePoolModifier,penetration,ranges,usesPerRound,optionalAreaOfEffects,damageTypes,governingSkillName
Dual-wielded Unarmed,Just your bare hands. Can be used in a Grapple.,Innate,Indefinite,Dual-wielded,Unarmed,None,+0,-1d,0,Melee,Swift,None,Bludgeon,Close Melee
,,,,,,,,,,,,,,
One-handed Torch Close Melee,"Torches, ect... Can be used in a Grapple.",Innate,Indefinite,One-handed,Torch Close Melee,None,-1,+0d6,0,Melee,Swift,None,"Bludgeon, Fire",Close Melee
Dual-wielded Torch Close Melee,"Torches, ect... Can be used in a Grapple.",Innate,Indefinite,Dual-wielded,Torch Close Melee,None,-1,+1d6,0,Melee,Swift +1,None,"Bludgeon, Fire",Close Melee
,,,,,,,,,,,,,,
One-handed Hew Close Melee,"Hatchets, small axes, ect... Can be used in a Grapple.",Innate,Indefinite,One-handed,Hew Close Melee,None,+1,+0d6,0,Melee,Swift,None,Hew,Close Melee
Dual-wielded Hew Close Melee,"Hatchets, small axes, ect... Can be used in a Grapple.",Innate,Indefinite,Dual-wielded,Hew Close Melee,None,+1,+1d6,0,Melee,Swift +1,None,Hew,Close Melee
,,,,,,,,,,,,,,
One-handed Slash Close Melee,"Daggers, shortswords, claws, ect... Can be used in a Grapple.",Innate,Indefinite,One-handed,Slash Close Melee,None,+1,+0d6,0,Melee,Swift,None,Slash,Close Melee
Dual-wielded Slash Close Melee,"Daggers, shortswords, claws, ect... Can be used in a Grapple.",Innate,Indefinite,Dual-wielded,Slash Close Melee,None,+1,+1d6,0,Melee,Swift +1,None,Slash,Close Melee
,,,,,,,,,,,,,,
One-handed Pierce Close Melee,"Small warpick, daggers, shortswords, claws, ect... Can be used in a Grapple.",Innate,Indefinite,One-handed,Pierce Close Melee,None,+0,+0d6,1,Melee,Swift,None,Pierce,Close Melee
Dual-wielded Pierce Close Melee,"Small warpick, daggers, shortswords, claws, ect... Can be used in a Grapple.",Innate,Indefinite,Dual-wielded,Pierce Close Melee,None,+0,+1d6,1,Melee,Swift +1,None,Pierce,Close Melee
,,,,,,,,,,,,,,
One-handed Pierce Close Melee -1,"Small warpick, daggers, shortswords, claws, ect... Can be used in a Grapple.",Innate,Indefinite,One-handed,Pierce Close Melee -1,None,-1,+0d6,1,Melee,Swift,None,Pierce,Close Melee
Dual-wielded Pierce Close Melee -1,"Small warpick, daggers, shortswords, claws, ect... Can be used in a Grapple.",Innate,Indefinite,Dual-wielded,Pierce Close Melee -1,None,-1,+1d6,1,Melee,Swift +1,None,Pierce,Close Melee
,,,,,,,,,,,,,,
One-handed Bludgeon Close Melee,"Small club, crowbars, gauntlets, ect... Can be used in a Grapple.",Innate,Indefinite,One-handed,Bludgeon Close Melee,None,-1,+0d6,2,Melee,Swift,None,Bludgeon,Close Melee
