combatRollToOverwrite,combatRollType,optionalResourceTypeAndAmount,description,source,duration,combatRollTypeOld,variation,baseDiceAdjustment,governingSkillName,damageTypes,dicePoolModifier,penetration,range,usesPerRound,areaOfEffect
Dual-wielded Unarmed,Glove,None,Just your bare hands. Can be used in a Grapple.,Innate,Indefinite,Unarmed,Dual-wielded,+0,{Magic Skill},{Magic Skill Damage Types},-1d,0,Melee,Swift,None
,,,,,,,,,,,,,,,
One-handed Slash Close Melee,Close Melee,None,"Daggers, shortswords, claws, ect... Can be used in a Grapple.",Innate,Indefinite,Slash Close Melee,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+0d6,0,Melee,Swift,None
Dual-wielded Slash Close Melee,Close Melee,None,"Daggers, shortswords, claws, ect... Can be used in a Grapple.",Innate,Indefinite,Slash Close Melee,Dual-wielded,+0,{Magic Skill},{Magic Skill Damage Types},+1d6,0,Melee,Swift +1,None
,,,,,,,,,,,,,,,
One-handed Slash Medium Melee,Medium Melee,None,"Arming Sword, Sidesword, broadsword, falchion, messer, katana, scimitar, large creature claws, ect...",Innate,Indefinite,Slash Medium Melee,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+1d6,1,Melee,Swift,None
Two-handed Slash Medium Melee,Medium Melee,None,"Bastard Sword, Medium swords with two-handed grips, ect...",Innate,Indefinite,Slash Medium Melee,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+2d6,1,Melee,Swift,None
Dual-wielded Slash Medium Melee,Medium Melee,None,"Arming Sword, Sidesword, broadsword, falchion, messer, katana, scimitar, large creature claws, ect...",Innate,Indefinite,Slash Medium Melee,Dual-wielded,+0,{Magic Skill},{Magic Skill Damage Types},+2d6,1,Melee,Swift +1,None
,,,,,,,,,,,,,,,
One-handed Medium Spear,Medium Spear,None,"Javelin, short spear, large creature horns, ect...",Innate,Indefinite,Medium Spear,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+1d8,1,Melee,Quick,None
Dual-wielded Medium Spear,Medium Spear,None,"Javelin, short spear, large creature horns, ect...",Innate,Indefinite,Medium Spear,Dual-wielded,+0,{Magic Skill},{Magic Skill Damage Types},"+1d8, 1d6",1,Melee,Quick,None
,,,,,,,,,,,,,,,
One-handed Slash Large Melee,Large Melee,None,"Longsword, Ōdachi, ect...",Innate,Indefinite,Slash Large Melee,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+0d6,1,Melee,Swift,None
Two-handed Slash Large Melee,Large Melee,None,"Longsword, Ōdachi, ect...",Innate,Indefinite,Slash Large Melee,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+2d6,2,Melee,Swift,None
,,,,,,,,,,,,,,,
One-handed Large Spear,Large Spear,None,"Two-handed spear, ect...",Innate,Indefinite,Large Spear,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+0d6,1,Melee,Quick,None
Two-handed Large Spear,Large Spear,None,"Two-handed spear, ect...",Innate,Indefinite,Large Spear,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},"+1d8, 1d6",2,Melee,Quick,None
,,,,,,,,,,,,,,,
One-handed Slash Reach Melee,Reach Melee,None,"Greatsword, zweihänder, naginata, ect... Disadvantage while in confined spaces.",Innate,Indefinite,Slash Reach Melee,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},-1d,1,Reach,Swift +2,None
Two-handed Slash Reach Melee,Reach Melee,None,"Greatsword, zweihänder, naginata, ect... Disadvantage while in confined spaces.",Innate,Indefinite,Slash Reach Melee,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+3d6,3,Reach,Swift +2,None
,,,,,,,,,,,,,,,
One-handed Reach Spear,Reach Spear,None,"Pike, lance, ect... Disadvantage while in confined spaces.",Innate,Indefinite,Reach Spear,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},-1d,1,Reach,Steady,None
Two-handed Reach Spear,Reach Spear,None,"Pike, lance, ect... Disadvantage while in confined spaces.",Innate,Indefinite,Reach Spear,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},"+1d8, 2d6",3,Reach,Steady,None
,,,,,,,,,,,,,,,
One-handed Whip,Whip,None,"Bullwhips, ect... Disadvantage while in confined spaces.",Innate,Indefinite,Whip,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+0d6,0,Reach,Swift,None
Dual-wielded Whip,Whip,None,"Bullwhips, ect... Disadvantage while in confined spaces.",Innate,Indefinite,Whip,Dual-wielded,+0,{Magic Skill},{Magic Skill Damage Types},+1d6,0,Reach,Swift +1,None
,,,,,,,,,,,,,,,
One-handed Hand Crossbow ,Hand Crossbow,"{Magic Resource Type}, 1",Small crossbows designed to be held in one hand.,Innate,Indefinite,Hand Crossbow,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+1d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None
Two-handed Hand Crossbow ,Hand Crossbow,"{Magic Resource Type}, 1",Small crossbows designed to be held in one hand.,Innate,Indefinite,Hand Crossbow,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+1d6,0,"Medium (Normal), Medium (Disadvantage), Medium (Super Disadvantage)",Quick,None
Dual-wielded Hand Crossbow ,Hand Crossbow,"{Magic Resource Type}, 2",Small crossbows designed to be held in one hand.,Innate,Indefinite,Hand Crossbow,Dual-wielded,+0,{Magic Skill},{Magic Skill Damage Types},+2d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Steady,None
,,,,,,,,,,,,,,,
One-handed Light Crossbow,Light Crossbow,"{Magic Resource Type}, 1","Crossbows balancing power and reload time. ",Innate,Indefinite,Light Crossbow,One-handed,+0,{Magic Skill},{Magic Skill Damage Types},+0d6,1,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Steady,None
Two-handed Light Crossbow,Light Crossbow,"{Magic Resource Type}, 1","Crossbows balancing power and reload time. ",Innate,Indefinite,Light Crossbow,Two-handed,+0,{Magic Skill},{Magic Skill Damage Types},+1d6,1,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Steady,None
,,,,,,,,,,,,,,,
