name,description,duration,source
Combat Modifier: Defensive,"During combat, a character can purely focuses on defending themselves. Advantage for both Combat Rolls and Evasion Rolls. No Victory Level outcomes can be achieved for the round by the character. Not applicable if the character can't solely focus on defending themselves, such as when they have Disadvantage to their Combat Rolls or Evasion Rolls.",1 round,Purely focusing on defense
Combat Modifier: Dash,"Instead of engaging in a Combat Roll, a character can choose to focus purely on their movement, doubling their Movement Speed. They can still perform an Evasion Roll.",1 round,Purely focusing on movement
Combat Modifier: Stationary Shooting,"Remain stationary for an entire round to gain a more stable base for ranged Combat Rolls. Advantage on all of ranged Combat Rolls for that round, except against opponents engaging the character with a Melee or Reach Range Combat Roll. Due to being a stationary target, Disadvantage on Evasion Roll.",1 round,Remaining stationary
Combat Modifier: Grapple Disarm,"Once already in a Grapple, as part of their declaration phase a character can declare they are attempting a Grapple Disarm to disarm their opponent. The character attempting the Grapple Disarm must be Unarmed. They gain Advantage their Unarmed combat roll versus the armed grappled opponent. The armed opponent gains Disadvantage on their combat roll versus the character grappling them. The character attempting the Grapple Disarm may only take the Disarm Level 2 Victory (this means they cannot delegate their attack to inflict an injury or execute a trip regardless of how high the victory achieved.)",1 round,Purely focusing on disarming
,,,
Combat Modifier: High Ground,"Advantage to Combat Rolls received through achieving a height advantage against an opponent, IE standing on a table, riding on a mount, or attacking an prone opponent with a melee weapon. High ground for ranged attacks, must have a more significant height differential than for melee attacks, such as shooting from a climbed tree or atop a castle wall. Melee Combat Rolls made by a standing character against a Prone character have the High Ground combat modifier.",Indefinite,Gaining a height advantage
Combat Modifier: Ranged vs Melee,"When a character is making a ranged Combat Roll vs a melee Combat Roll, they gain Disadvantage on their ranged Combat Roll if they are within range of an opponent who is targeting them with a melee Combat Roll.",Indefinite,Melee combatant within range
Combat Modifier: Off Guard,"Disadvantage to Combat Rolls and Evasion Rolls received when a character is attacked while unaware or actively distracted by something else such as picking a lock, hacking a terminal, being distracted, etc.",Indefinite,Distracted by something else
Combat Modifier: Sneak Attack,Advantage to Combat Rolls when attacking another character while hidden from them.,Indefinite,Attacking while hidden
Combat Modifier: Half Cover,"A target can benefit from cover only when an attack or other effect originates on the opposite side of the cover. A target has half cover if an obstacle blocks at least half of its body. The obstacle might be a low wall, a large piece of furniture, a narrow tree trunk, or a character, whether that creature is an enemy or a friend. Gains Minor Resistance to all damage types. ",Indefinite,"Tree trunks, walls, barriers, ect."
