name,description,source,duration,resource,amount,optionalResourcePoolMax,isAmountTiedToItemStackQuantity
Negative Strength Point (Level -2),"A character with negative STR is less resistant/durable against physical/bodily damage types. In combat, for every negative point in STR the Narrator can increase a Victory Level achieved against them once every combat encounter. Outside of combat, for every negative point in STR the Narrator can increase an injury against a character as many times as they want.",Innate,Indefinite,Negative Strength Point,2,2,FALSE
Negative Strength Point (Level -1),"A character with negative STR is less resistant/durable against physical/bodily damage types. In combat, for every negative point in STR the Narrator can increase a Victory Level achieved against them once every combat encounter. Outside of combat, for every negative point in STR the Narrator can increase an injury against a character as many times as they want.",Innate,Indefinite,Negative Strength Point,1,1,FALSE
Strength Point (Level 1),"A character with positive STR is more resistant/durable against physical/bodily damage types. In combat, for every positive point in STR a character can reduce a Victory Level achieved against them once every combat encounter. Outside of combat, for every positive point in STR a character can reduce an injury against them as many times as they want, granted there is a couple minutes of downtime between each injury.",Innate,Indefinite,Strength Point,1,1,FALSE
Strength Point (Level 2),"A character with positive STR is more resistant/durable against physical/bodily damage types. In combat, for every positive point in STR a character can reduce a Victory Level achieved against them once every combat encounter. Outside of combat, for every positive point in STR a character can reduce an injury against them as many times as they want, granted there is a couple minutes of downtime between each injury.",Innate,Indefinite,Strength Point,2,2,FALSE
Strength Point (Level 3),"A character with positive STR is more resistant/durable against physical/bodily damage types. In combat, for every positive point in STR a character can reduce a Victory Level achieved against them once every combat encounter. Outside of combat, for every positive point in STR a character can reduce an injury against them as many times as they want, granted there is a couple minutes of downtime between each injury.",Innate,Indefinite,Strength Point,3,3,FALSE
Strength Point (Level 4),"A character with positive STR is more resistant/durable against physical/bodily damage types. In combat, for every positive point in STR a character can reduce a Victory Level achieved against them once every combat encounter. Outside of combat, for every positive point in STR a character can reduce an injury against them as many times as they want, granted there is a couple minutes of downtime between each injury.",Innate,Indefinite,Strength Point,4,4,FALSE
Strength Point (Level 5),"A character with positive STR is more resistant/durable against physical/bodily damage types. In combat, for every positive point in STR a character can reduce a Victory Level achieved against them once every combat encounter. Outside of combat, for every positive point in STR a character can reduce an injury against them as many times as they want, granted there is a couple minutes of downtime between each injury.",Innate,Indefinite,Strength Point,5,5,FALSE
,,,,,,,
Negative Intelligence Point (Level -2),"A character with negative INT is less resistant/durable against psychic/spiritual damage types. In combat, for every negative point in INT the Narrator can increase a Victory Level achieved against them once every combat encounter. Outside of combat, for every negative point in INT the Narrator can increase an injury against a character as many times as they want.",Innate,Indefinite,Negative Intelligence Point,2,2,FALSE
Negative Intelligence Point (Level -1),"A character with negative INT is less resistant/durable against psychic/spiritual damage types. In combat, for every negative point in INT the Narrator can increase a Victory Level achieved against them once every combat encounter. Outside of combat, for every negative point in INT the Narrator can increase an injury against a character as many times as they want.",Innate,Indefinite,Negative Intelligence Point,1,1,FALSE
Intelligence Point (Level 1),"A character with positive INT is more resistant/durable against psychic/spiritual damage types. In combat, for every positive point in INT a character can reduce a Victory Level achieved against them once every combat encounter. Outside of combat, for every positive point in INT a character can reduce an injury against them as many times as they want, granted there is a couple minutes of downtime between each injury.",Innate,Indefinite,Intelligence Point,1,1,FALSE
Intelligence Point (Level 2),"A character with positive INT is more resistant/durable against psychic/spiritual damage types. In combat, for every positive point in INT a character can reduce a Victory Level achieved against them once every combat encounter. Outside of combat, for every positive point in INT a character can reduce an injury against them as many times as they want, granted there is a couple minutes of downtime between each injury.",Innate,Indefinite,Intelligence Point,2,2,FALSE
Intelligence Point (Level 3),"A character with positive INT is more resistant/durable against psychic/spiritual damage types. In combat, for every positive point in INT a character can reduce a Victory Level achieved against them once every combat encounter. Outside of combat, for every positive point in INT a character can reduce an injury against them as many times as they want, granted there is a couple minutes of downtime between each injury.",Innate,Indefinite,Intelligence Point,3,3,FALSE
Intelligence Point (Level 4),"A character with positive INT is more resistant/durable against psychic/spiritual damage types. In combat, for every positive point in INT a character can reduce a Victory Level achieved against them once every combat encounter. Outside of combat, for every positive point in INT a character can reduce an injury against them as many times as they want, granted there is a couple minutes of downtime between each injury.",Innate,Indefinite,Intelligence Point,4,4,FALSE
Intelligence Point (Level 5),"A character with positive INT is more resistant/durable against psychic/spiritual damage types. In combat, for every positive point in INT a character can reduce a Victory Level achieved against them once every combat encounter. Outside of combat, for every positive point in INT a character can reduce an injury against them as many times as they want, granted there is a couple minutes of downtime between each injury.",Innate,Indefinite,Intelligence Point,5,5,FALSE
,,,,,,,
