name,description,duration,source,affectedSkills,level
Apprentice Athletics,Athletics set to level 1.,Indefinite,Innate,Athletics,1
Adept Athletics,Athletics set to level 2.,Indefinite,Innate,Athletics,2
Expert Athletics,Athletics set to level 3.,Indefinite,Innate,Athletics,3
,,,,,
Apprentice Endurance,Endurance set to level 1.,Indefinite,Innate,Endurance,1
Adept Endurance,Endurance set to level 2.,Indefinite,Innate,Endurance,2
Expert Endurance,Endurance set to level 3.,Indefinite,Innate,Endurance,3
,,,,,
Apprentice Lift,Lift set to level 1.,Indefinite,Innate,Lift,1
Adept Lift,Lift set to level 2.,Indefinite,Innate,Lift,2
Expert Lift,Lift set to level 3.,Indefinite,Innate,Lift,3
,,,,,
Apprentice Dexterity,Dexterity set to level 1.,Indefinite,Innate,Dexterity,1
Adept Dexterity,Dexterity set to level 2.,Indefinite,Innate,Dexterity,2
Expert Dexterity,Dexterity set to level 3.,Indefinite,Innate,Dexterity,3
,,,,,
Apprentice Perception,Perception set to level 1.,Indefinite,Innate,Perception,1
Adept Perception,Perception set to level 2.,Indefinite,Innate,Perception,2
Expert Perception,Perception set to level 3.,Indefinite,Innate,Perception,3
,,,,,
Apprentice Stealth,Stealth set to level 1.,Indefinite,Innate,Stealth,1
Adept Stealth,Stealth set to level 2.,Indefinite,Innate,Stealth,2
Expert Stealth,Stealth set to level 3.,Indefinite,Innate,Stealth,3
,,,,,
Apprentice Knowledge,Knowledge set to level 1.,Indefinite,Innate,Knowledge,1
Adept Knowledge,Knowledge set to level 2.,Indefinite,Innate,Knowledge,2
Expert Knowledge,Knowledge set to level 3.,Indefinite,Innate,Knowledge,3
,,,,,
Apprentice Logic,Logic set to level 1.,Indefinite,Innate,Logic,1
Adept Logic,Logic set to level 2.,Indefinite,Innate,Logic,2
Expert Logic,Logic set to level 3.,Indefinite,Innate,Logic,3
,,,,,
Apprentice Will,Will set to level 1.,Indefinite,Innate,Will,1
Adept Will,Will set to level 2.,Indefinite,Innate,Will,2
Expert Will,Will set to level 3.,Indefinite,Innate,Will,3
,,,,,
Apprentice Deception,Deception set to level 1.,Indefinite,Innate,Deception,1
Adept Deception,Deception set to level 2.,Indefinite,Innate,Deception,2
Expert Deception,Deception set to level 3.,Indefinite,Innate,Deception,3
,,,,,
Apprentice Intimidation,Intimidation set to level 1.,Indefinite,Innate,Intimidation,1
Adept Intimidation,Intimidation set to level 2.,Indefinite,Innate,Intimidation,2
Expert Intimidation,Intimidation set to level 3.,Indefinite,Innate,Intimidation,3
,,,,,
Apprentice Persuasion,Persuasion set to level 1.,Indefinite,Innate,Persuasion,1
Adept Persuasion,Persuasion set to level 2.,Indefinite,Innate,Persuasion,2
Expert Persuasion,Persuasion set to level 3.,Indefinite,Innate,Persuasion,3
