name,description,duration,source,performanceTime,governingSkillName,challengeLevel,optionalResourceAndAmount,optionalRanges,optionalAreaOfEffects
Combat Assist: Sneak Attack,"As a Stealth Assist, while already hidden, prepare to execute a lethal attack, only allowing them a fraction of a second to react. Your Uses Per Round is reduced to 1 for the round.",1 Round,Innate,~seconds,Stealth,3,None,None,None
Combat Assist: Focused Shot,"As a Perception Assist, while making a ranged Combat Roll, focus on a single opponent and target a weak point. Your Uses Per Round is reduced to 1 for the round.",1 Round,Innate,~seconds,Perception,3,None,None,None
Combat Assist: Charge,"As a Athletics Assist, if there is 10 ft between the character and an opponent, they may add their momentum to their melee attack. The character charging must move in a straight line, and once a charge is initiated as a portion of a character's movement, their directions must remain constant the entire round. Disadvantage to Dodging while charging.",1 Round,Innate,~seconds,Athletics,3,None,None,None
Combat Assist: Brace,"As a Lift Assist, a brace is a move purely to counter a charge. Character gains Advantage versus charging opponents and charging opponents lose their Advantage versus them. No movement can be used while bracing. Bracing uses the opponent's momentum against them, enabling a prepared defender to more easily stagger, trip or injure the charging opponent.",1 Round,Innate,~seconds,Lift,3,None,None,None
Combat Assist: Pack Tactics,"As a Teamwork Assist, when two or more attackers make a combat roll against the same opponent with at least one of them within 5 feet, they can make this collaborative assist roll. If successful, they can coordinate their attacks, gaining Advantage on their attack rolls.",1 Round,Innate,~seconds,Teamwork,3,None,None,None
Combat Assist: Formation,"As a Teamwork Assist, when two or more allies are next to each other, they can make a collaborative assist roll. If the assist is successful, then all characters within the formation gain Advantage to their Melee or Reach range combat rolls.",1 Round,Innate,~seconds,Teamwork,3,None,None,None
,,,,,,,,,
Darkvision Eyes,"Character gains the Nightvision effect. Within 60 feet, sees dim light as if it were bright light and darkness as if it were dim light, though devoid of color.",8 hours,Innate,~seconds,Bodily Magic,0,"Mana, 0",Self,None
Minor Hologram,"You can manifest an image of an object within a specified range, and it persists for the spell's duration. The hologram will also dissipate if you choose to dismiss it as an action or if you cast the spell again. If you choose to create an image of an object, such as a chair, muddy footprints, or a small chest, it cannot exceed a 5 foot cube. When physically interacted with, the hologram is exposed as such because objects and beings can pass through it without obstruction. If a creature dedicates its action to scrutinizing the image, it may discern that it is an hologram by succeeding in a Logic check against the wins from the Magic Skill roll.",1 minute,Innate,~seconds,Light Magic,0,"Mana, 0","Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",None
Minor Sound,"You can manifest a sound within a specified range and it persists for the spell's duration. The sound will also dissipate if you choose to dismiss it as an action or if you cast the spell again. You have control over its volume, which can vary from a mere whisper to a thunderous scream. It could resemble your own voice, another person's voice, the mighty roar of a lion, the rhythmic beat of drums, or any other sound you desire. The chosen sound will persist continuously throughout the spell's duration or you can produce discrete sounds at different moments before the spell concludes. If a creature dedicates its action to scrutinizing the sound, it may discern that it is an illusion by succeeding a Logic check against the wins from the Magic Skill roll.",1 minute,Innate,~seconds,Sound Magic,0,"Mana, 0","Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",None
Minor Mirage,"You can manifest either a sound or an image of an object within a targets mind. It must be within the effective range of the spell and it persists for the spell's duration. The illusion will also dissipate if you choose to dismiss it as an action or if you cast the spell again. When you opt for a sound, you have control over its volume, which can vary from a mere whisper to a thunderous scream. It could resemble your own voice, another person's voice, the mighty roar of a lion, the rhythmic beat of drums, or any other sound you desire. The chosen sound will persist continuously throughout the spell's duration, or you can produce discrete sounds at different moments before the spell concludes. If you choose to create an image of an object, such as a chair, muddy footprints, or a small chest, it cannot exceed a 5 foot cube. This illusory image lacks the ability to produce sound, light, scent, or any other sensory effects. When physically interacted with, the illusion is exposed as such because objects and beings can pass through it without obstruction. If a creature dedicates its action to scrutinizing the sound or image, it may discern that it is an illusion by succeeding in an Will check against the wins from the Magic Skill roll. If a creature successfully identifies the illusion, it becomes faint and transparent to that creature.",1 minute,Innate,~seconds,Mind Magic,0,"Mana, 0","Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",None
Illuminate,"You make contact with an object, its size not exceeding 10 feet in any dimension. Throughout the spell's duration, the object emits bright light in a 20-foot radius, accompanied by dim light for an additional 20 feet. You have the freedom to choose the color of the light. Should the object be fully covered with an opaque material, the emitted light is blocked. The spell concludes if cast anew or dismissed through an action. In the event that you target an object held or worn by a hostile creature, that creature must succeed in a Evasion Roll or Combat Roll to evade the effects of the spell.",1 hour,Innate,~seconds,Light Magic,0,"Mana, 0",Melee,None
Magic Weapon Infusion,"With a weapon utilized in the casting of this spell held, you infuse it with the damage types your magic skill provides. Should the attack connect, the target is subjected to both the weapon's and magic infusions damage types.",1 Round,Innate,~seconds,Any Magic,0,"Mana, 0",Self,None
Magic Hand,"A magic hand materializes at a designated point within the spell's range. This apparition persists for the spell's duration or until you choose to dismiss it. The hand dissipates if it strays beyond a the spells effective range or if you cast the spell anew. You have the ability command the hand. Its functions include manipulating objects, opening unlocked doors or containers, stowing or retrieving items from open containers, and pouring the contents out of a vial. The hand's movement speed is equal to it's effective range. It is roughly as strong as the users hand. If attacks are made with it, treat it as the users own unarmed attacks.",1 minute,Innate,~seconds,Gravity Magic,0,"Mana, 0","Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",None
,,,,,,,,,
Mend Wound,"Choose a creature within your sight and within the spell's range; it receives Minor Healing. Note that this spell only heals living biological characters, it does not affect undead or constructs. At Higher Magic Resource, for each additional Magic Resource spent over base amount, healing tier increases.",Instantaneous,Innate,~seconds,Life Magic,1,"Mana, 1",Melee,None
Bewitch,"You bewitch a target within your range as a part of your turn. The target makes a Will Check versus the Magic Skill Roll of this spell. If successful, this spell inflicts an extra Minor Necrotic Injury whenever you inflict an injury. Additionally, you can select one of the target's core skills to impose a disadvantage on. If the target's is rendered unconscious or killed before the spell ends, you have the opportunity to bewitch another creature on a subsequent turn of yours. If a spell remove a curse from a target than this spell ends early.","Concentration, 1 hour",Innate,~seconds,Soul Magic,1,"Mana, 1","Long (Normal), Long (Disadvantage), Long (Super Disadvantage)",None
Talk With Animals,"You acquire the capacity to understand and speak with beasts throughout the spell's duration. While the intelligence of many beasts may limit their knowledge and awareness, they can, at a minimum, provide information about nearby locations and creatures, based on their perceptions from the past day. Depending on the Narrator's judgment, you might also be able to persuade a beast to carry out a small task for you.",10 minutes,Innate,~seconds,Nature Magic,1,"Mana, 1",Self,None
Disguise Flesh,"You have the ability to alter your biological appearance, until the spell concludes or you choose to dispel it. You can change your height by up to one foot and manipulate your apparent physique to appear thin, fat, or anything in between. However, you cannot alter your fundamental body structure, necessitating adherence to a form with a similar limb arrangement. Beyond this restriction, the extent of changes is within your control. Despite the alterations, if this spell is used to mimic another's appearance, depending on the skill level of the caster certain details might be off at close distances, especially for those that would know the mimicked character. To expose your disguise, a character can spend its action inspecting your appearance and must succeed in an Logic check versus the wins achieved when this spell is cast.",1 hour,Innate,~seconds,Bodily Magic,1,"Mana, 1",Self,None
Weird Insight,"Select a character's mind within effective range, probing for a random fact or secret about the target. The target is aware there mind is being probed, and can either make a Deception check to deceive the mental invader, feeding them a false piece of information or Will check to force them out of their mind. The target has advantage if they are in combat with the caster or its allies. If the target is unable to resist, roll a d20, with the higher the roll being the more hidden the fact or secret. The target automatically resists the mental invasion if they are immune to being charmed.",Instantaneous,Innate,~seconds,Mind Magic,1,"Mana, 1","Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",None
Babel's Clarity,"You hear any language that is spoken around you as if it was spoken in Babelish. Additionally, you comprehend any written language you encounter as if it was written in Babelish, provided that you physically touch the surface bearing the text.This effect does not decode secret messages or arcane writing that is not part of a written language.",1 hour,Innate,~seconds,Mind Magic,1,"Mana, 1",Self,None
Physical Protection,"A willing and unarmored creature that you touch becomes enveloped in a protective magical field until the spell is terminated. This field grants the wearer 3 Physical Defense for the duration. If the creature puts on armor or if you choose to end the spell with an action, the spell concludes.",8 hours,Innate,~seconds,Gravity Magic,1,"Mana, 1",Melee,None
