name,quantity,effects,weight,value,description
Engineering Suit,1,"Engineering Suit Defense, Space Vacuum Life Support",12,10 bc,"Head Armor, Body Armor, Arm Armor, Leg Armor"
Security Suit,1,"Security Suit Defense, Space Vacuum Life Support",12,10 bc,"Head Armor, Body Armor, Arm Armor, Leg Armor"
Advanced Suit,1,"Advanced Suit Defense, Space Vacuum Life Support",12,10 bc,"Head Armor, Body Armor, Arm Armor, Leg Armor"
Soldier Suit,1,"Soldier Suit Defense, Space Vacuum Life Support",12,10 bc,"Head Armor, Body Armor, Arm Armor, Leg Armor"
,,,,,
Engineering Multi-tool,1,"Repair Base Dice Tier Adjustment (+2), Muzzleloading Pistol (One-handed) (+0), Muzzleloading Pistol (Two-handed) (+0), Muzzleloading Pistol (Dual-wielded) (+0)",3,?,
Vibro-sword,1,"Medium Pierce Melee (One-handed) (+3), Medium Pierce Melee (Dual-wielded) (+3), Medium Slash Melee (One-handed) (+3), Medium Slash Melee (Dual-wielded) (+3)",2,10 bc,
Vibro-knife,1,"(One-handed) Small Pierce Melee (+3), (Dual-wielded) Small Pierce Melee (+3), (One-handed) Small Slash Melee (+3), (Dual-wielded) Small Slash Melee (+3), Thrown (One-handed) Small Pierce Melee (+3), Thrown (Dual-wielded) Small Pierce Melee (+3), Resource Pool: Thrown Small Pierce Melee (+3)",1,2 bc,
Medpack,1,,1,?,
,,,,,
Muzzleloading Pistol,1,"Muzzleloading Pistol (One-handed) (+0), Muzzleloading Pistol (Two-handed) (+0), Muzzleloading Pistol (Dual-wielded) (+0)",3,?,
Arquebus,1,"Arquebus (One-handed) (+0), Arquebus (Two-handed) (+0)",7,?,
Musket,1,"Musket (One-handed) (+0), Musket (Two-handed) (+0)",10,?,
,,,,,
Muzzleloading Pistol Cartridge - Standard,1,Muzzleloading Pistol Cartridges - Standard,0.0275,?,
Arquebus Cartridge - Standard,1,Arquebus Cartridges - Standard,0.0275,?,
Musket Cartridge - Standard,1,Musket Cartridges - Standard,0.0275,?,
,,,,,
Glock 17,1,"9mm Semi-automatic Pistol (One-handed) (+0), 9mm Semi-automatic Pistol (Two-handed) (+0), 9mm Semi-automatic Pistol (Dual-wielded) (+0)",2,?,
Beretta 93R,1,"9mm Semi-automatic Pistol (One-handed) (+0), 9mm Semi-automatic Pistol (Two-handed) (+0), 9mm Semi-automatic Pistol (Dual-wielded) (+0), 9mm Burst-fire Pistol (One-handed) (+0), 9mm Burst-fire Pistol (Two-handed) (+0), 9mm Burst-fire Pistol (Dual-wielded) (+0)",2.5,?,
Glock 18,1,"9mm Semi-automatic Pistol (One-handed) (+0), 9mm Semi-automatic Pistol (Two-handed) (+0), 9mm Semi-automatic Pistol (Dual-wielded) (+0), 9mm Automatic Pistol (One-handed) (+0), 9mm Automatic Pistol (Two-handed) (+0), 9mm Automatic Pistol (Dual-wielded) (+0)",2.5,?,
Remington 870,1,"12 Gauge Pump-action Shotgun (One-handed) (+0), 12 Gauge Pump-action Shotgun (Two-handed) (+0)",7.5,?,
AR-15,1,"5.56 Semi-automatic Rifle (One-handed) (+0), 5.56 Semi-automatic Rifle (Two-handed) (+0)",6.5,?,
M16A2,1,"5.56 Semi-automatic Rifle (One-handed) (+0), 5.56 Semi-automatic Rifle (Two-handed) (+0), 5.56 Burst Rifle (One-handed) (+0), 5.56 Burst Rifle (Two-handed) (+0), 5.56 Automatic Rifle (One-handed) (+0), 5.56 Automatic Rifle (Two-handed) (+0)",7.5,?,
Remington M700,1,".308 Bolt Action Rifle (One-handed) (+0), .308 Bolt Action Rifle (Two-handed) (+0)",9,?,
M249,1,"5.56 Machine Gun (One-handed) (+0), 5.56 Machine Gun (Two-handed) (+0)",17,?,
RPG-7,1,"RPG Launcher (One-handed) (+0), RPG Launcher (Two-handed) (+0)",15,?,
,,,,,
9mm Round - FMJ,1,9mm Rounds - FMJ,0.016,?,
12 Gauge Shell - Buckshot,1,12 Gauge Shells - Buckshot,0.05,?,
5.56 Round - FMJ,1,5.56 Rounds - FMJ,0.02,?,
.308 Round - FMJ,1,.308 Rounds - FMJ,0.031,?,
RPG Round - Explosive,1,RPG Rounds - Explosive,4,?,
,,,,,
Cuneiform Tablets,1,Spellcasting Focus,0.1,1 cc,
Petty Brightstone,1,Light Storage,0.1,?,"Brightstone is a rare gem that can hold light. The only place it can be found is near Crossroads, where it is said that Bright Lord fell after taking a hit from Amon during the Great Betrayal. The finer and more precisely the gem is cut the more light it can hold."
