variation,combatRollType,baseDiceAdjustment,dicePoolModifier,penetration,range,usesPerRound,areaOfEffect,optionalResourceTypeAndAmount,damageTypes,governingSkillName,description,duration,source
One-handed,Magic Dart,+0,+0d6,0,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Swift,None,"Generic, 0",,,"Can be used as a Combat Roll. Disadvantage while within range of ",Indefinite,Innate
Dual-wielded,Magic Dart,+0,+1d6,0,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Swift,None,"Generic, 0",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Two-handed,Magic Sling,+0,+0d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None,"Generic, 0",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
One-handed,Magic Javelin,+0,+1d6,1,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
One-handed,Magic Great Javelin,+0,+1d6,2,"Short (Normal), Short (Disadvantage), Short (Super Disadvantage)",Quick,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
One-handed,Magic Hand Bolt,+0,+1d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
Dual-wielded,Magic Hand Bolt,+0,+2d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Two-handed,Magic Bolt,+0,+1d6,1,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Steady,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Two-handed,Magic Great Bolt,+0,+2d6,2,"Long (Normal), Long (Disadvantage), Long (Super Disadvantage)",Extremely Slow,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Two-handed,Magic Arrow,+0,+1d6,0,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Swift,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
One-handed,Magic Penetrating Hand Bolt,+0,+1d6,1,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None,"Generic, 2",,,Can be used as a Combat Roll.,Indefinite,Innate
Dual-wielded,Magic Penetrating Hand Bolt,+0,+2d6,1,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Quick,None,"Generic, 2",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Two-handed,Magic Penetrating Bolt,+0,+1d6,2,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Steady,None,"Generic, 2",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Two-handed,Magic Penetrating Great Bolt,+0,+2d6,3,"Long (Normal), Long (Disadvantage), Long (Super Disadvantage)",Extremely Slow,None,"Generic, 2",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Two-handed,Magic Penetrating Arrow,+0,+1d6,1,"Far (Normal), Far (Disadvantage), Far (Super Disadvantage)",Swift,None,"Generic, 2",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Two-handed,Magic Great Arrow,+0,+2d6,2,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Quick,None,"Generic, 2",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Two-handed,Magic Penetrating Great Arrow,+0,+2d6,3,"Sharpshooter (Normal), Sharpshooter (Disadvantage), Sharpshooter (Super Disadvantage)",Quick,None,"Generic, 3",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
One-handed,Magic Hand Discharge,+0,+2d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Extremely Slow,None,"Generic, 3",,,Can be used as a Combat Roll.,Indefinite,Innate
Dual-wielded,Magic Hand Discharge,+0,+3d6,0,"Mediocre (Normal), Mediocre (Disadvantage), Mediocre (Super Disadvantage)",Extremely Slow,None,"Generic, 3",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
One-handed,Magic Discharge,+0,+0d6,0,"Long (Normal), Long (Disadvantage), Long (Super Disadvantage)",Extremely Slow,None,"Generic, 3",,,Can be used as a Combat Roll.,Indefinite,Innate
Two-handed,Magic Discharge,+0,+2d6,0,"Long (Normal), Long (Disadvantage), Long (Super Disadvantage)",Extremely Slow,None,"Generic, 3",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
