combatRollType,baseDiceTierAdjustment,handedVariation,dicePoolModifier,penetration,range,usesPerRound,areaOfEffect,optionalResourceTypeAndAmount,damageTypes,governingSkillName,description,duration,source
Magic Dart,+0,One-handed,+0d6,0,Short,Swift,None,"Generic, 0",,,"Can be used as a Combat Roll. Disadvantage while within range of ",Indefinite,Innate
Magic Dart,+0,Dual-wielded,+1d6,0,Short,Swift,None,"Generic, 0",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Magic Sling,+0,Two-handed,+0d6,0,Mediocre,Quick,None,"Generic, 0",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Magic Javelin,+0,One-handed,+1d6,1,Mediocre,Quick,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Magic Great Javelin,+0,One-handed,+1d6,2,Short,Quick,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Magic Hand Bolt,+0,One-handed,+1d6,0,Mediocre,Quick,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
Magic Hand Bolt,+0,Dual-wielded,+2d6,0,Mediocre,Quick,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Magic Bolt,+0,Two-handed,+1d6,1,Far,Steady,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Magic Great Bolt,+0,Two-handed,+2d6,2,Long,Extremely Slow,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Magic Arrow,+0,Two-handed,+1d6,0,Far,Swift,None,"Generic, 1",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Magic Penetrating Hand Bolt,+0,One-handed,+1d6,1,Mediocre,Quick,None,"Generic, 2",,,Can be used as a Combat Roll.,Indefinite,Innate
Magic Penetrating Hand Bolt,+0,Dual-wielded,+2d6,1,Mediocre,Quick,None,"Generic, 2",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Magic Penetrating Bolt,+0,Two-handed,+1d6,2,Far,Steady,None,"Generic, 2",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Magic Penetrating Great Bolt,+0,Two-handed,+2d6,3,Long,Extremely Slow,None,"Generic, 2",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Magic Penetrating Arrow,+0,Two-handed,+1d6,1,Far,Swift,None,"Generic, 2",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
Magic Great Arrow,+0,Two-handed,+2d6,2,Sharpshooter,Quick,None,"Generic, 2",,,Can be used as a Combat Roll.,Indefinite,Innate
,,,,,,,,,,,,,
