name,angle,effectiveLength,effectiveLengthPerDice,ineffectiveLengthOption,ineffectiveLengthPerDiceOption,maxLengthOption,maxLengthPerDiceOption
10 ft Cone,53.13,10,0,None,None,None,None
15 ft Cone,53.13,15,0,None,None,None,None
20 ft Cone,53.13,20,0,None,None,None,None
25 ft Cone,53.13,25,0,None,None,None,None
30 ft Cone,53.13,30,0,None,None,None,None
35 ft Cone,53.13,35,0,None,None,None,None
40 ft Cone,53.13,40,0,None,None,None,None
45 ft Cone,53.13,45,0,None,None,None,None
50 ft Cone,53.13,50,0,None,None,None,None
55 ft Cone,53.13,55,0,None,None,None,None
60 ft Cone,53.13,60,0,None,None,None,None
Close Cone Calculation,53.13,2.5,2.5,None,None,None,None
Medium Cone Calculation,53.13,2.5,5,None,None,None,None
