name,desc,defendingSkill
Slash,Caused by pushing or drawing a bladed edge to produce the force necessary to slice.,None
Pierce,Caused by pointed objects.,None
Bludgeon,Caused by blunt force.,None
Hew,Caused by the pressing of a bladed edge to produce the force necessary to shear.,None
Ballistic,Caused by bullets from firearms.,None
Shockwave,Caused by shock waves and sound.,None
Fire,Caused by intense heat or combustion.,None
Electric,Caused by lightning or other sources of electricity.,None
Radiant,Caused specifically by divine power or sunlight.,None
Acid,Caused by corrosive substances.,None
Cold,Caused by extremely low temperatures.,Endurance
Silver,Caused by a Silvered weapon.,Endurance
Poison,Caused by poisons or toxins.,Endurance
Necrotic,"Caused by rot, decay, and undeath.",Endurance
Bleed,Caused by the loss of blood.,Endurance
Suffocation,Caused by the lack of breathable air such as drowning.,Endurance
Psychic,Caused by mental trauma.,Will
Spiritual,Caused by spiritual sources such as ghosts or divine entities.,Will
