name,resourceType,dicePoolMod,baseDiceTierAdjustment,penetrationAdjustment,rangeOption,damageTypes,areaOfEffectOption
Standard Light Arrow,Light Arrow,+0d6,+0,0,None,Pierce,
Wounding Light Arrow,Light Arrow,+0d6,+1,0,None,"Pierce, Bleed",
Anti-armor Light Arrow,Light Arrow,+0d6,+0,1,None,Pierce,
Survival Light Arrow,Light Arrow,+0d6,-1,-1,None,Pierce,
Shoddy Light Arrow,Light Arrow,+0d6,-1,0,None,Pierce,
,,,,,,,
Standard Heavy Arrow,Heavy Arrow,+0d6,+0,0,None,Pierce,
Wounding Heavy Arrow,Heavy Arrow,+0d6,+1,0,None,"Pierce, Bleed",
Anti-armor Heavy Arrow,Heavy Arrow,+0d6,+0,1,None,Pierce,
Survival Heavy Arrow,Heavy Arrow,+0d6,-1,-1,None,Pierce,
Shoddy Heavy Arrow,Heavy Arrow,+0d6,-1,0,None,Pierce,
,,,,,,,
Standard Light Bolt,Light Bolt,+0d6,+0,0,None,Pierce,
Wounding Light Bolt,Light Bolt,+0d6,+1,0,None,"Pierce, Bleed",
Anti-armor Light Bolt,Light Bolt,+0d6,+0,1,None,Pierce,
Survival Light Bolt,Light Bolt,+0d6,-1,-1,None,Pierce,
Shoddy Light Bolt,Light Bolt,+0d6,-1,0,None,Pierce,
,,,,,,,
Standard Heavy Bolt,Heavy Bolt,+0d6,+0,0,None,Pierce,
Wounding Heavy Bolt,Heavy Bolt,+0d6,+1,0,None,"Pierce, Bleed",
Anti-armor Heavy Bolt,Heavy Bolt,+0d6,+0,1,None,Pierce,
Survival Heavy Bolt,Heavy Bolt,+0d6,-1,-1,None,Pierce,
Shoddy Heavy Bolt,Heavy Bolt,+0d6,-1,0,None,Pierce,
,,,,,,,
Poison Needle,Blowgun Dart,+0d6,+0,0,None,Poison,
Standard Sling Bullet,Sling Bullet,+0d6,+0,0,None,Bludgeon,
,,,,,,,
Standard Muzzleloading Pistol Cartridge,Muzzleloading Pistol Cartridge,+0d6,+0,0,None,Pierce,
Standard Arquebus Cartridge,Arquebus Cartridge,+0d6,+0,0,None,Pierce,
Standard Musket Cartridge,Musket Cartridge,+0d6,+0,0,None,Pierce,
,,,,,,,
9mm FMJ Cartridge,9mm Cartridge,+0d6,+0,0,None,Pierce,
5.56 FMJ Cartridge,5.56 Cartridge,+0d6,+0,0,None,Pierce,
.308 FMJ Cartridge,.308 Cartridge,+0d6,+0,0,None,Pierce,
12 Gauge Buckshot Shell,12 Gauge Shell,+0d6,+0,0,None,Pierce,
RPG Round,RPG Round,+0d6,+0,0,None,"Fire, Shockwave",30 ft Sphere
