name,desc,duration,source
Victory Level 1: Inflict Minor Injury,"Inflict a Minor Injury causing -1d to STR/RFX/INT governed Dice Pools. The injury will naturally heal over the next few days, or faster if treated actively.",Instant,1 Victory Level win
Victory Level 1: Stagger,"The opponent gains the Staggered condition until the end of the next round. This could be sand thrown in a character's face, being shoulder-checked, or losing their footing.",Instant,1 Victory Level win
Victory Level 1: Shove,"The opponent is shoved in the desired direction. The character performing the shove can either roll a Lift check or take the average amount of Wins rounded down. If the character is using magic, they may use a Magic Skill instead of Lift, assuming the magic could shove someone. For each win achieved, the character can shove another character 5 feet in a straight line. For each size category the opponent is smaller than you, double the distance. For each size category, the opponent is larger than you, half the distance. The Narrator can change the shove distance based on unusual circumstances (i.e. humanoid-sized creature weighs as much as a Large sized creature as it is made of pure metal/stone).",Instant,1 Victory Level win
Victory Level 1: Contested Grapple,Enter a contested grapple. Apply the Grappled condition to the opponent. The opponent may choose to apply the Grappled condition back.,Instant,1 Victory Level win
Victory Level 1: Break Grapple,Removes the Grappled condition applied by an opponent.,Instant,1 Victory Level win
Victory Level 1: Drag,"The opponent, which first must be Grappled, is dragged in a desired direction. The character performing the drag can either roll a Lift check or take the average amount of wins rounded down. If the character is using magic, they may use a Magic Skill instead of Lift, assuming the magic could drag someone. For each win achieved, a character can drag another character 10 feet. For each size category the opponent is smaller than you, double the distance. For each Size the opponent is larger than you, half the distance. If the character is required to move during the drag, they may not exceed their Movement Speed for that round. The Narrator can change the drag distance based on unusual circumstances (i.e. humanoid-sized creature weighs as much as a Large sized creature as it is made of pure metal/stone).",Instant,1 Victory Level win
,,,
Victory Level 2: Inflict Medium Injury,Inflict a Medium Injury causing -2d to STR/RFX/INT governed Dice Pools. The injury must be treated relatively soon otherwise further penalties may apply such as infection.,Instant,2 Victory Level wins
Victory Level 2: Disarm,The opponent loses one of their held items.,Instant,2 Victory Level wins
Victory Level2:  Grapple,Apply the Grappled condition to the opponent.,Instant,2 Victory Level wins
,,,
Victory Level 3: Inflict Serious Injury,Inflict a Serious Injury causing -3d to STR/RFX/INT governed Dice Pools.  The injury will lead to death in time if untreated.,Instant,3 Victory Level wins
Victory Level 3: Double Disarm,The opponent loses two of their held items.,Instant,3 Victory Level wins
Victory Level 3: Trip,The opponent gains the Prone condition. The tripped opponent can declare they are attempting to regain their footing on a round they start Prone. Regaining their footing requires the downed opponent to use their entire movement speed for that round. At the end of the round they were regaining their footing they can remove the Prone condition.,Instant,3 Victory Level wins
,,,
Victory Level 4: Inflict Fatal Injury,Inflict a Fatal Injury causing -4d to STR/RFX/INT governed Dice Pools. The injury will lead to death very soon if untreated. The character inflicted with this injury is Physically Incapacitated (see the Narrative Effect).,Instant,4 Victory Level wins
Victory Level 4: Dismember,"The opponent loses an arm or leg, which counts as a Serious Injury. Not available to ranged combat rolls unless there is a narrative explanation of how a ranged attack could dismember (magic, explosive projectiles, etc...).",Instant,4 Victory Level wins
Victory Level 4: Render Unconscious,"The opponent gains the Unconscious condition, which counts as a Medium Injury that persists even after they regain consciousness. This could be from head trauma, blood chokes, etc...",Instant,4 Victory Level wins
,,,
Victory Level 5: Inflict Death Blow,Inflict a Death Blow Injury causing -5d to STR/RFX/INT governed Dice Pools. The injury causes death.,Instant,5 Victory Level wins
