name,description,source,duration,resource,amount,resourcePoolMaxOption,isAmountTiedToItemStackQuantity
Destiny Point Pool,"A character can hold a max of 3 Destiny Points. Spending a ""Preemptive Destiny Point"" before rolling a dice pool gives Advantage on the resulting roll. Spending ""Post Roll Destiny Points"" adds additional Wins for each point spent, with the total Wins never exceeding the size of the dice pool. Destiny points are awarded when players perform actions that the narrator wants to encourage. Examples include showing up to the game on time, exceptional roleplay, accomplishing a narrative milestone, and doing something in line with their character's personality even if at the detriment of wealth or progress.",Indefinite,Given by The Narrator,Destiny Point,0,3,FALSE
Destiny Chosen,Destiny Point Cap set to 6. Gain an additional Destiny Point whenever one is gained. Destiny begins to shape around the user's true desires.,Indefinite,Given by The Narrator,Destiny Point,0,6,FALSE
,,,,,,,
HP Pool,,,,HP,10,10,FALSE
HP Pool with Cap,,,,HP,10,None,FALSE
,,,,,,,
Nature Connection Pool,,,,Nature Connection,10,Nature Connection Resource Pool Max,FALSE
Fellblood Pool,,,,Fellblood,10,Fellblood Resource Pool Max,FALSE
Focus Pool,,,,Focus,10,Focus Resource Pool Max,FALSE
,,,,,,,
Resource Pool: Thrown Small Slash Melee (+0),Resources representing how many throwing combat rolls that can be performed.,Innate,Indefinite,Thrown Small Slash Melee (+0),1,None,TRUE
,,,,,,,
Resource Pool: Thrown Small Pierce Melee (-1),Resources representing how many throwing combat rolls that can be performed.,Innate,Indefinite,Thrown Small Pierce Melee (+0),1,None,TRUE
Resource Pool: Thrown Small Pierce Melee (+0),Resources representing how many throwing combat rolls that can be performed.,Innate,Indefinite,Thrown Small Pierce Melee (+0),1,None,TRUE
Resource Pool: Thrown Small Pierce Melee (+5),Resources representing how many throwing combat rolls that can be performed.,Innate,Indefinite,Thrown Small Pierce Melee (+0),1,None,TRUE
,,,,,,,
Resource Pool: Thrown Small Hew Melee (+0),Resources representing how many throwing combat rolls that can be performed.,Innate,Indefinite,Thrown Small Hew Melee (+0),1,None,TRUE
Resource Pool: Thrown Small Bludgeon Melee (+0),Resources representing how many throwing combat rolls that can be performed.,Innate,Indefinite,Thrown Small Bludgeon Melee (+0),1,None,TRUE
Resource Pool: Thrown Medium Spear (+0),Resources representing how many throwing combat rolls that can be performed.,Innate,Indefinite,Thrown Medium Spear (+0),1,None,TRUE
Resource Pool: Thrown Large Spear (+0),Resources representing how many throwing combat rolls that can be performed.,Innate,Indefinite,Thrown Large Spear (+0),1,None,TRUE
,,,,,,,
Light Arrows - Standard,Ammunition for Combat Rolls.,Indefinite,Innate,Light Arrow - Standard,20,None,TRUE
"Light Arrows - Wounding ",Ammunition for Combat Rolls.,Indefinite,Innate,"Light Arrow - Wounding ",20,None,TRUE
Light Arrows - Anti-armor,Ammunition for Combat Rolls.,Indefinite,Innate,Light Arrow - Anti-armor,20,None,TRUE
Light Arrows - Survival,Ammunition for Combat Rolls.,Indefinite,Innate,Light Arrow - Survival,20,None,TRUE
Light Arrows - Shoddy,Ammunition for Combat Rolls.,Indefinite,Innate,Light Arrow - Shoddy,20,None,TRUE
,,,,,,,
Heavy Arrows - Standard,Ammunition for Combat Rolls.,Indefinite,Innate,Heavy Arrow - Standard,20,None,TRUE
Heavy Arrows - Wounding,Ammunition for Combat Rolls.,Indefinite,Innate,Heavy Arrow - Wounding,20,None,TRUE
Heavy Arrows - Anti-armor,Ammunition for Combat Rolls.,Indefinite,Innate,Heavy Arrow - Anti-armor,20,None,TRUE
Heavy Arrows - Survival,Ammunition for Combat Rolls.,Indefinite,Innate,Heavy Arrow - Survival,20,None,TRUE
Heavy Arrows - Shoddy,Ammunition for Combat Rolls.,Indefinite,Innate,Heavy Arrow - Shoddy,20,None,TRUE
,,,,,,,
Light Bolts - Standard,Ammunition for Combat Rolls.,Indefinite,Innate,Light Bolt - Standard,20,None,TRUE
Light Bolts - Wounding,Ammunition for Combat Rolls.,Indefinite,Innate,Light Bolt - Wounding,20,None,TRUE
Light Bolts - Anti-armor,Ammunition for Combat Rolls.,Indefinite,Innate,Light Bolt - Anti-armor,20,None,TRUE
Light Bolts - Survival,Ammunition for Combat Rolls.,Indefinite,Innate,Light Bolt - Survival,20,None,TRUE
Light Bolts - Shoddy,Ammunition for Combat Rolls.,Indefinite,Innate,Light Bolt - Shoddy,20,None,TRUE
,,,,,,,
Heavy Bolts - Standard,Ammunition for Combat Rolls.,Indefinite,Innate,Heavy Bolt - Standard,20,None,TRUE
Heavy Bolts - Wounding,Ammunition for Combat Rolls.,Indefinite,Innate,Heavy Bolt - Wounding,20,None,TRUE
Heavy Bolts - Anti-armor,Ammunition for Combat Rolls.,Indefinite,Innate,Heavy Bolt - Anti-armor,20,None,TRUE
Heavy Bolts - Survival,Ammunition for Combat Rolls.,Indefinite,Innate,Heavy Bolt - Survival,20,None,TRUE
Heavy Bolts - Shoddy,Ammunition for Combat Rolls.,Indefinite,Innate,Heavy Bolt - Shoddy,20,None,TRUE
,,,,,,,
Blowgun Darts - Poison,Ammunition for Combat Rolls.,Indefinite,Innate,Blowgun Dart - Poison,20,None,TRUE
Sling Bullets - Standard,Ammunition for Combat Rolls.,Indefinite,Innate,Sling Bullet - Standard,20,None,TRUE
,,,,,,,
Muzzleloading Pistol Cartridges - Standard,Ammunition for Combat Rolls.,Indefinite,Innate,Muzzleloading Pistol Cartridge - Standard,20,None,TRUE
Arquebus Cartridges - Standard,Ammunition for Combat Rolls.,Indefinite,Innate,Arquebus Cartridge - Standard,20,None,TRUE
Musket Cartridges - Standard,Ammunition for Combat Rolls.,Indefinite,Innate,Musket Cartridge - Standard,20,None,TRUE
,,,,,,,
9mm Rounds - FMJ,Ammunition for Combat Rolls.,Indefinite,Innate,9mm Round - FMJ,20,None,TRUE
5.56 Rounds - FMJ,Ammunition for Combat Rolls.,Indefinite,Innate,5.56 Round - FMJ,20,None,TRUE
.308 Rounds - FMJ,Ammunition for Combat Rolls.,Indefinite,Innate,.308 Round - FMJ,20,None,TRUE
