name,governingAttributes,decription
Hand Crossbow,"STR, RFX, INT",Covers activities related using a Hand Crossbow.
Light Crossbow,"STR, RFX, INT",Covers activities related using a Light Crossbow.
Heavy Crossbow,"STR, RFX, INT",Covers activities related using a Heavy Crossbow.
,,
Light Bow,"STR, RFX, INT",Covers activities related using a Light Bow.
Heavy Bow,"STR, RFX, INT",Covers activities related using a Heavy Bow.
,,
Exotic Ranged,"STR, RFX, INT","Covers activities related using a Blowgun, Sling, ect..."
,,
Close Melee,"STR, RFX, INT","Covers activities related using a dagger, hatchet, small club, ect..."
,,
Medium Melee,"STR, RFX, INT","Covers activities related using an Arming Sword, Battleaxe, mace, ect..."
,,
Large Melee,"STR, RFX, INT","Covers activities related using a Longsword, Waraxe, Maul, ect..."
,,
Reach Melee,"STR, RFX, INT","Covers activities related using a Greatsword, Poleaxe, Pike, ect..."
,,
Exotic Melee,"STR, RFX, INT","Covers activities related using a Whip, ect..."
,,
Primal Melee,"STR, RFX, INT","Covers activities related using a Claws, Fangs, ect..."
,,
Small Guns,"STR, RFX, INT","Covers activities related using a Handgun, Sub-machine Gun, ect..."
Medium Guns,"STR, RFX, INT","Covers activities related using a Rifle, ect..."
Heavy Guns,"STR, RFX, INT","Covers activities related using a Machine Gun, Rocket launcher, ect..."
,,
Polycraft,"STR, RFX, INT",No description yet.
Blazecraft,"STR, RFX, INT",No description yet.
Hydrocraft,"STR, RFX, INT",No description yet.
Electrocraft,"STR, RFX, INT",No description yet.
Terracraft,"STR, RFX, INT",No description yet.
Galecraft,"STR, RFX, INT",No description yet.
Cryocraft,"STR, RFX, INT",No description yet.
Naturecraft,"STR, RFX, INT",No description yet.
Toxincraft,"STR, RFX, INT",No description yet.
Soulcraft,"STR, RFX, INT",No description yet.
Shadowcraft,"STR, RFX, INT",No description yet.
Mindcraft,"STR, RFX, INT",No description yet.
Ferracraft,"STR, RFX, INT",No description yet.
Sonocraft,"STR, RFX, INT",No description yet.
Hemacraft,"STR, RFX, INT",No description yet.
Spidercraft,"STR, RFX, INT",No description yet.
Acidcraft,"STR, RFX, INT",No description yet.
Warpcraft,"STR, RFX, INT",No description yet.
Telekeneticraft,"STR, RFX, INT",No description yet.
Blizzardcraft,"STR, RFX, INT",No description yet.
Magmacraft,"STR, RFX, INT",No description yet.
Plasmacraft,"STR, RFX, INT",No description yet.
Stormcraft,"STR, RFX, INT",No description yet.
,,
Body Magic,"RFX, INT",No description yet.
Fire Magic,"RFX, INT",No description yet.
Water Magic,"RFX, INT",No description yet.
Electricity Magic,"RFX, INT",No description yet.
Earth Magic,"RFX, INT",No description yet.
Air Magic,"RFX, INT",No description yet.
Cold Magic,"RFX, INT",No description yet.
Nature Magic,"RFX, INT",No description yet.
Poison Magic,"RFX, INT",No description yet.
Soul Magic,"RFX, INT",No description yet.
Light Magic,"RFX, INT",No description yet.
Shadow Magic,"RFX, INT",No description yet.
Mind Magic,"RFX, INT",No description yet.
Magnetic Magic,"RFX, INT",No description yet.
Sound Magic,"RFX, INT",No description yet.
Blood Magic,"RFX, INT",No description yet.
Acid Magic,"RFX, INT",No description yet.
Time Magic,"RFX, INT",No description yet.
Teleport Magic,"RFX, INT",No description yet.
Force Magic,"RFX, INT",No description yet.
,,
Fire Rune,"RFX, INT",No description yet.
Earth Rune,"RFX, INT",No description yet.
Water Rune,"RFX, INT",No description yet.
Air Rune,"RFX, INT",No description yet.
Electricity Rune,"RFX, INT",No description yet.
Cold Rune,"RFX, INT",No description yet.
Poison Rune,"RFX, INT",No description yet.
Blood Rune,"RFX, INT",No description yet.
Light Rune,"RFX, INT",No description yet.
Dark Rune,"RFX, INT",No description yet.
Sound Rune,"RFX, INT",No description yet.
Body Rune,"RFX, INT",No description yet.
Mind Rune,"RFX, INT",No description yet.
Soul Rune,"RFX, INT",No description yet.
Time Rune,"RFX, INT",No description yet.
Space Rune,"RFX, INT",No description yet.
Strength Rune,"RFX, INT",No description yet.
Gravity Rune,"RFX, INT",No description yet.
Nature Rune,"RFX, INT",No description yet.
Acid Rune,"RFX, INT",No description yet.
